1361830197016,2124,001 1-1,1148,2124,1,0
1361830199157,209,001 1-1,1148,209,1,0
1361830199368,197,001 1-1,2595,197,1,0
1361830199567,199,001 1-1,2009,199,1,0
1361830199767,188,001 1-1,2009,188,1,0
1361830199957,255,001 1-1,6678,255,1,0
1361830200215,189,001 1-1,6684,189,1,0
1361830200406,168,001 1-1,766,168,1,0
1361830200576,180,001 1-1,4560,180,1,0
1361830200758,180,001 1-1,4560,180,1,0
1361830200940,184,001 1-1,7359,184,1,0
1361830201126,176,001 1-1,2586,176,1,0
1361830201304,184,001 1-1,8235,184,1,0
1361830201490,247,001 1-1,22023,245,1,0
1361830201739,178,001 1-1,6723,177,1,0
1361830201919,193,001 1-1,4364,193,1,0
1361830202114,176,001 1-1,4150,176,1,0
1361830202292,199,001 1-1,7911,198,1,0
1361830202493,196,001 1-1,9478,196,1,0
1361830202691,197,001 1-1,9478,196,1,0
1361830202890,163,001 1-1,766,163,1,0
1361830203114,162,001 1-1,3606,162,1,0
1361830203278,162,001 1-1,4079,162,1,0
1361830203442,165,001 1-1,3171,165,1,0
1361830203609,163,001 1-1,3662,163,1,0
1361830203774,184,001 1-1,7549,184,1,0
1361830203960,164,001 1-1,3273,164,1,0
1361830204126,159,001 1-1,3833,159,1,0
1361830204287,185,001 1-1,6669,184,1,0
1361830204473,163,001 1-1,2862,163,1,0
1361830204637,166,001 1-1,3433,166,1,0
1361830204804,164,001 1-1,3354,164,1,0
1361830204969,261,001 1-1,15979,259,1,0
1361830205231,178,001 1-1,9644,177,1,0
1361830205410,165,001 1-1,3098,165,1,0
1361830205577,169,001 1-1,11260,168,1,0
1361830205747,108,001 1-1,10613,107,1,0
1361830205856,187,001 1-1,12281,186,1,0
1361830206045,161,001 1-1,3080,161,1,0
1361830206207,189,001 1-1,19384,187,1,0
1361830206397,170,001 1-1,7782,170,1,0
1361830206569,161,001 1-1,1819,161,1,0
1361830206731,162,001 1-1,2731,162,1,0
1361830206894,166,001 1-1,4932,166,1,0
1361830207062,162,001 1-1,5149,162,1,0
1361830207226,162,001 1-1,5149,161,1,0
1361830207456,421,001 1-1,1489,421,1,0
1361830207879,419,001 1-1,22084,417,1,0
1361830208299,157,001 1-1,2316,157,1,0
1361830208457,153,001 1-1,1707,153,1,0
1361830208611,155,001 1-1,4951,154,1,0
1361830208767,168,001 1-1,6187,168,1,0
1361830208936,164,001 1-1,2839,164,1,0
1361830209101,168,001 1-1,6160,168,1,0
1361830209270,163,001 1-1,6794,163,1,0
1361830209434,162,001 1-1,1391,162,1,0
1361830209596,157,001 1-1,3543,157,1,0
1361830209754,185,001 1-1,14634,184,1,0
1361830209940,159,001 1-1,2397,159,1,0
1361830210100,161,001 1-1,5528,161,1,0
1361830210262,153,001 1-1,1139,153,1,0
1361830210416,177,001 1-1,15633,176,1,0
1361830210594,155,001 1-1,2191,155,1,0
1361830210750,171,001 1-1,15768,170,1,0
1361830210922,159,001 1-1,6122,159,1,0
1361830211082,147,001 1-1,766,147,1,0
1361830211230,155,001 1-1,3126,155,1,0
1361830211386,162,001 1-1,8734,162,1,0
1361830211549,167,001 1-1,4977,167,1,0
1361830211717,158,001 1-1,3147,158,1,0
1361830211876,157,001 1-1,3147,157,1,0
1361830212035,160,001 1-1,3074,160,1,0
1361830212196,153,001 1-1,2888,153,1,0
1361830212350,149,001 1-1,788,149,1,0
1361830212572,148,001 1-1,2004,148,1,0
1361830212720,149,001 1-1,1329,149,1,0
1361830212870,168,001 1-1,7650,168,1,0
1361830213039,224,001 1-1,20832,222,1,0
1361830213264,169,001 1-1,8100,168,1,0
1361830213434,168,001 1-1,9700,168,1,0
1361830213603,169,001 1-1,9700,168,1,0
1361830213772,163,001 1-1,3785,163,1,0
1361830213936,162,001 1-1,3785,162,1,0
1361830214099,149,001 1-1,2059,149,1,0
1361830214249,161,001 1-1,2812,160,1,0
1361830214411,147,001 1-1,766,147,1,0
1361830214559,157,001 1-1,3818,157,1,0
1361830214717,151,001 1-1,1803,151,1,0
1361830214869,168,001 1-1,11088,167,1,0
1361830215039,162,001 1-1,7421,161,1,0
1361830215202,145,001 1-1,940,145,1,0
1361830215348,145,001 1-1,940,145,1,0
1361830215494,409,001 1-1,11294,408,1,0
1361830215904,166,001 1-1,10230,165,1,0
1361830216071,174,001 1-1,5131,174,1,0
1361830216246,170,001 1-1,7512,169,1,0
1361830216417,164,001 1-1,5214,163,1,0
1361830216581,164,001 1-1,5214,164,1,0
1361830216746,153,001 1-1,4843,153,1,0
1361830216900,182,001 1-1,12418,182,1,0
1361830217084,146,001 1-1,1882,146,1,0
1361830217231,158,001 1-1,5727,158,1,0
1361830217390,145,001 1-1,1902,145,1,0
1361830217536,148,001 1-1,2397,148,1,0
1361830217685,180,001 1-1,2397,180,1,0
1361830217866,182,001 1-1,20485,181,1,0
1361830218050,156,001 1-1,4638,155,1,0
1361830218206,146,001 1-1,1315,146,1,0
1361830218353,167,001 1-1,8463,167,1,0
1361830218521,148,001 1-1,766,148,1,0
1361830218670,152,001 1-1,3129,152,1,0
1361830218823,162,001 1-1,7237,162,1,0
1361830218987,161,001 1-1,7237,161,1,0
1361830219149,157,001 1-1,5343,157,1,0
1361830219307,154,001 1-1,4405,154,1,0
1361830219462,148,001 1-1,2937,148,1,0
1361830219611,151,001 1-1,4095,151,1,0
1361830219763,147,001 1-1,3951,147,1,0
1361830219911,152,001 1-1,2922,152,1,0
1361830220064,147,001 1-1,766,147,1,0
1361830220212,150,001 1-1,3681,150,1,0
1361830220363,150,001 1-1,3681,150,1,0
1361830220514,256,001 1-1,2394,256,1,0
1361830220772,187,001 1-1,18107,184,1,0
1361830220960,149,001 1-1,2638,149,1,0
1361830221110,149,001 1-1,2638,149,1,0
1361830221259,155,001 1-1,4016,155,1,0
1361830221415,152,001 1-1,2112,152,1,0
