ne_10m_roads
ne_10m_admin_0_boundary_lines_land
ne_10m_admin_1_states_provinces_lines_shp
ne_10m_coastline
ne_10m_populated_places
ne_10m_rivers_lake_centerlines
ne_10m_urban_areas
ne_10m_lakes
